artifact_type,who_must_see,role_command,visual_proof_to_build,build_tools,programmatic_evaluation_tools,deterministic_gate,ci_output
Code change,Code Reviewer / Tech Lead,/talk-reviewer,"PR diff, inline annotations","git diff, GitHub/GitLab PR view","reviewdog, Danger JS, ESLint, TypeScript, unit tests","lint=pass; typecheck=pass; tests=pass; no forbidden file changes","diff.html, review comments, junit.xml"
UI screen,Designer / UX Reviewer / Product Owner,/talk-ux,"before-after screenshots","Playwright, Cypress, Storybook","pixelmatch, odiff, Percy, Chromatic","visual_diff_percent <= threshold; approved baseline exists","screenshots, diff image, visual report"
Interactive web UI,UX Reviewer / Product Owner / QA,/talk-ux,"GIF/MP4 interaction recording","Playwright video, Playwright trace, Cypress video, FFmpeg","Playwright assertions, DOM snapshot, network assertions","all scripted steps pass; no console errors; expected states reached","mp4, trace.zip, html report"
Interactive TUI,UX/Product Reviewer / Maintainer,/talk-qa,"terminal GIF/MP4","VHS, asciinema, termtosvg, FFmpeg","golden text snapshot, ANSI snapshot, expect tests, regex checks","exit_code=0; expected frames/text present; no panic/error output","demo.gif, demo.mp4, cast file, snapshot diff"
CLI output,QA / Docs Owner / Developer Advocate,/talk-qa,"terminal screenshot or recording","asciinema, VHS, script, terminalizer","approval tests, snapshot tests, regex checks","command exits 0; stdout/stderr match golden output","cast file, stdout.txt, snapshot.diff"
Bug fix,QA / Bug Reporter / Support,/talk-qa,"before-fail and after-pass proof","Playwright, Cypress, pytest, Jest, screen recording","regression test, screenshot diff, log assertion","repro test fails before fix and passes after fix","before.png, after.png, test report"
Test result,QA / Release Manager,/talk-qa,"test report dashboard","pytest, Jest, Vitest, JUnit, Playwright Test","coverage.py, nyc, mutation testing, junit parser","tests=pass; coverage >= threshold; flaky rate <= threshold","junit.xml, coverage.html"
Performance change,Performance Engineer / Tech Lead,/talk-cto,"benchmark chart, flamegraph","hyperfine, k6, wrk, autocannon, perf, speedscope","statistical benchmark comparison, p95/p99 thresholds","latency <= budget; throughput >= budget; regression <= allowed percent","benchmark.json, chart.png, flamegraph.html"
Web performance,Frontend Lead / Product Owner,/talk-cto,"Lighthouse report","Lighthouse CI, WebPageTest API","Lighthouse CI assertions, performance budgets","performance score >= threshold; LCP/CLS/INP within budget","lhci report, budget report"
Security fix,Security Reviewer,/talk-legal,"scan report, sanitized exploit proof","Semgrep, Trivy, CodeQL, Snyk, OWASP ZAP","SAST/SCA/container scan, dependency audit","no critical/high findings; exploit regression test blocked","sarif, security report"
API change,Backend Reviewer / Frontend Engineer,/talk-reviewer,"API contract diff, example response","OpenAPI generator, Swagger UI, Redocly","openapi-diff, oasdiff, Redocly lint, contract tests","no breaking changes unless explicitly approved; schema lint pass","openapi-diff.html, contract-test report"
Database migration,DBA / SRE / Backend Lead,/talk-data,"schema diff, dry-run output","Alembic, Prisma Migrate, Flyway, Liquibase","migration dry-run, schema diff, rollback test","migration applies cleanly; rollback works; no destructive change without flag","schema.diff, migration logs"
Architecture change,Architect / Tech Lead,/talk-cto,"diagram, sequence diagram","Mermaid, PlantUML, Structurizr, Graphviz","diagram lint, dependency graph checks, architecture tests","forbidden dependency count=0; diagram builds successfully","svg/png diagram, dependency report"
Data pipeline,Data Engineer / Analytics Engineer,/talk-data,"DAG view, lineage graph, row-count diff","Airflow, Dagster, dbt docs, OpenLineage","dbt tests, Great Expectations, Soda, row-count checks","freshness pass; schema pass; row-count variance within threshold","lineage.html, data-quality report"
Analytics dashboard,Data Analyst / Business Owner,/talk-data,"dashboard screenshot","Playwright, Selenium, BI export API","metric snapshot tests, SQL validation, screenshot diff","key metrics match source query; visual diff within threshold","dashboard.png, metric-diff.csv"
Design system component,Design System Owner / Frontend Reviewer,/talk-ux,"Storybook preview, component matrix","Storybook, Chromatic, Playwright component tests","visual regression, interaction tests, a11y tests","all stories render; visual diff approved; interaction tests pass","storybook-static, chromatic report"
Documentation,Docs Reviewer / Developer User,/talk-docs,"rendered docs preview","Docusaurus, MkDocs, VitePress, Storybook Docs","link checker, markdownlint, spellcheck, screenshot diff","no broken links; docs build pass; examples execute","docs preview, linkcheck report"
Localization,Localization Reviewer / UX,/talk-ux,"localized screenshots","Playwright locale matrix, pseudo-locale build","visual overflow checks, string length checks, screenshot diff","no clipped text; no missing keys; locale screenshots pass","locale screenshots, i18n report"
Accessibility,Accessibility Reviewer / QA,/talk-ux,"a11y report, keyboard-navigation video","Playwright, Storybook, browser automation","axe-core, pa11y, Lighthouse CI, keyboard-flow tests","zero critical violations; tab order test pass; contrast pass","a11y.json, html report, keyboard mp4"
Release candidate,Release Manager / Product Owner,/talk-ceo,"release checklist, demo video","GitHub Actions, GitLab CI, Buildkite, Playwright, FFmpeg","CI status aggregation, smoke tests, changelog validation","all required checks green; version/tag valid; smoke tests pass","release bundle, checklist.md, demo.mp4"
Mobile app,Mobile QA / Designer,/talk-ux,"device screenshot, screen recording","Detox, Appium, Maestro, XCUITest, Espresso","visual diff, device matrix tests, crash detection","tests pass on required devices; no crash; screenshots match baseline","device screenshots, mp4, test report"
Deployment,SRE / DevOps,/talk-cto,"deployment dashboard, health graph","Argo CD, Flux, kubectl, Terraform plan, Grafana","health checks, synthetic checks, canary analysis","error rate <= threshold; health=green; rollback available","deploy logs, health report"
Incident fix,Incident Commander / SRE / Support,/talk-cto,"timeline, before-after metrics","Grafana, Prometheus, Datadog, incident timeline tool","alert recovery check, SLO burn-rate check","alerts resolved; SLO back within target; no regression alerts","timeline.md, metrics.png"
AI/ML model change,ML Engineer / Domain Expert / Product Owner,/talk-data,"eval table, sample comparison","MLflow, Weights & Biases, Evidently, custom eval harness","golden dataset eval, regression tests, bias/safety tests","accuracy/quality >= baseline; failure slices within threshold","eval.json, confusion matrix, sample-diff.csv"
Visual asset,Brand / Design Reviewer,/talk-ux,"rendered image/icon preview","Figma export, ImageMagick, Sharp","dimension check, color-token check, perceptual hash diff","size/spec valid; colors match tokens; diff approved","asset sheet, metadata.json"
Video/motion asset,Motion Designer / Marketing,/talk-ceo,"MP4 preview, storyboard comparison","FFmpeg, Remotion, After Effects render CLI","ffprobe checks, duration/fps/codec validation, frame diff","duration/fps/codec match spec; no black frames; audio loudness valid","mp4, ffprobe.json"
Legal/compliance copy,Legal / Compliance Reviewer,/talk-legal,"final rendered page proof","Playwright, PDF renderer, docs build","text presence checks, snapshot tests, link checks","required clauses present; forbidden old copy absent","rendered page, text-diff report"
Email template,Marketing / Lifecycle Owner / QA,/talk-ux,"email client previews","MJML, Maizzle, Litmus, Email on Acid","HTML validation, link checker, screenshot diff","all required clients pass; links valid; no missing merge tags","email previews, html report"
Payment / checkout flow,Product Owner / QA / Finance,/talk-ceo,"end-to-end checkout recording","Playwright, Cypress, Stripe test mode, FFmpeg","E2E tests, amount assertions, webhook assertions","amount/status/webhook all match; no duplicate charge","checkout.mp4, transaction log"
Permission / admin flow,Security / Admin Reviewer / Product Owner,/talk-qa,"role-based screen recording, access matrix","Playwright role matrix, policy-as-code","OPA/Rego tests, RBAC matrix tests, forbidden-access tests","unauthorized actions blocked; authorized actions allowed","access-matrix.csv, role videos"
